_pathTag,"Test Case Description",Priority,"Can Automate","Is Automated","Validation points","Test Step Description"
Grid/Dependency,"Add new dependency with from column is 'localization' and localization type is 'Source language' and to column is 'Single Selection'",,true,false,,"<li>Access to the Gird</li><li>Click on the &quot;Dependency&quot; button </li><li>Select dependency you want to update</li><li>Select &quot;From&quot; column have type &quot;Localization&quot; and localization type is &quot;Source language&quot;</li><li>Select &quot;To&quot; column have type  &quot;Single Selection&quot;</li>"
Grid/Dependency,"Add new dependency with from column is 'localization' and localization type is 'Source language' and to column is 'localization' and localization type is 'Target language'",,true,false,,"<li>Access to the Gird</li><li>Click on the &quot;Dependency&quot; button </li><li>Select dependency you want to update</li><li>Select &quot;From&quot; column have type &quot;Localization&quot; and localization type is &quot;Source language&quot;</li><li>Select &quot;To&quot; column have type  &quot;Localization&quot; and localization type is &quot;Target language&quot;</li>"
Grid/Dependency,"Add new dependency with from column is 'localization' and localization type is 'Source language' and to column is 'localization' and localization type is 'Source language'",,true,false,,"<li>Access to the Gird</li><li>Click on the &quot;Dependency&quot; button </li><li>Select dependency you want to update</li><li>Select &quot;From&quot; column have type &quot;Localization&quot; and localization type is &quot;Source language&quot;</li><li>Select &quot;To&quot; column have type  &quot;Localization&quot; and localization type is &quot;Source language&quot;</li>"
Grid/Freeze,"Freeze for single column",,false,false,,"<li>Access to the Gird</li><li>Move the freeze bar to the right to freeze single column</li>"
Grid/Freeze,"Freeze for multiple column",,false,false,,"<li>Access to the Gird</li><li>Move the freeze bar to the right to freeze multiple columns</li>"
,"Resize 'Single line' column",,true,false,,"<li>Access to the Gird</li><li>Select column have data type is &quot;Single line&quot; to resize</li><li>Drag the right edge at the header of the column to resize</li>"
,"Resize 'Multiple line' column",,true,false,,"<li>Access to the Gird</li><li>Select column have data type is &quot;Multiple lines&quot; to resize</li><li>Drag the right edge at the header of the column to resize</li>"
,"Resize 'Rich text' column",,true,false,,"<li>Access to the Gird</li><li>Select column have data type is &quot;Rich text&quot; to resize</li><li>Drag the right edge at the header of the column to resize</li>"
,"Resize 'Number' column",,true,false,,"<li>Access to the Gird</li><li>Select column have data type is &quot;Number&quot; to resize</li><li>Drag the right edge at the header of the column to resize</li>"
,"Resize 'Date time' column",,true,false,,"<li>Access to the Gird</li><li>Select column have data type is &quot;Date time&quot; to resize</li><li>Drag the right edge at the header of the column to resize</li>"
,"Resize 'Single selection' column",,true,false,,"<li>Access to the Gird</li><li>Select column have data type is &quot;Single selection column&quot; to resize</li><li>Drag the right edge at the header of the column to resize</li>"
,"Resize 'Localization' column have localization type 'Source language'",,true,false,,"<li>Access to the Gird</li><li>Select column have data type is &quot;Localization&quot; column and localization type is &quot;Source language&quot; to resize</li><li>Drag the right edge at the header of the column to resize</li>"
,"Resize 'Localization' column have localization type 'Target language'",,true,false,,"<li>Access to the Gird</li><li>Select column have data type is &quot;Localization&quot; column and localization type is &quot;Target language&quot; to resize</li><li>Drag the right edge at the header of the column to resize</li>"
Grid/Column,"Change column position of 'Single line' column",,false,false,,"<li>Access to the Gird</li><li>Select column have data type is &quot;Single Line&quot; to change position</li><li>Press on the header of the column to change position</li>"
Grid/Column,"Change column position of 'Multiple lines' column",,false,false,,"<li>Access to the Gird</li><li>Select column have data type is &quot;Multiple lines&quot; to change position</li><li>Press on the header of the column to change position</li>"
Grid/Column,"Change column position of 'Rich text' column",,false,false,,"<li>Access to the Gird</li><li>Select column have data type is &quot;Rich text&quot; to change position</li><li>Press on the header of the column to change position</li>"
Grid/Column,"Change column position of 'Number' column",,false,false,,"<li>Access to the Gird</li><li>Select column have data type is &quot;Number&quot; to change position</li><li>Press on the header of the column to change position</li>"
Grid/Column,"Change column position of 'Single Selection' column",,false,false,,"<li>Access to the Gird</li><li>Select column have data type is &quot;Single Selection&quot; to change position</li><li>Press on the header of the column to change position</li>"
Grid/Column,"Change column position of 'Date time' column",,false,false,,"<li>Access to the Gird</li><li>Select column have data type is &quot;Date time&quot; to change position</li><li>Press on the header of the column to change position</li>"
Grid/Column,"Change column position of 'Localization' column have localization type is 'Source language'",,false,false,,"<li>Access to the Gird</li><li>Select column have data type is &quot;Localization&quot; and localization type is &quot;Source language&quot; to change position</li><li>Press on the header of the column to change position</li>"
Grid/Column,"Change column position of 'Localization' column have localization type is 'Target language'",,false,false,,"<li>Access to the Gird</li><li>Select column have data type is &quot;Localization&quot; and localization type is &quot;Target language&quot; to change position</li><li>Press on the header of the column to change position</li>"
,"Add new Row",,true,false,,"<li>Access to the Gird</li><li>Click on the button &quot;Create record&quot;</li>"
,"Delete single row",,true,false,,"<li>Access to the Gird</li><li>Select row you want to delete by click on header of row</li><li>Right click on header of row and select &quot;Delete&quot;</li>"
,"Delete multiple row",,true,false,,"<li>Access to the Gird</li><li>Select multiple rows you want to delete by click on header of row + press &quot;Crtl&quot; or &quot;Shift&quot;</li><li>Right click on header of rows and select &quot;Delete&quot;</li>"
,"View record history for single row",,true,false,,"<li>Access to the Gird</li><li>Select row you want to view &quot;Record history&quot; by click on header of row</li><li>Right click on header of row and select &quot;Record history&quot;</li>"
,"Resize for single row",,true,false,,"<li>Access to the Gird</li><li>Select row you want to resize</li><li>Click on the bottom edge of the row&#39;s header </li>"
,"Copy single row",,true,false,,"<li>Access to the Gird</li><li>Select row you want to copy by click on row&#39;s header</li><li>Press &quot;Ctrl + C&quot; to copy</li>"
,"Copy multiple row",,true,false,,"<li>Access to the Gird</li><li>Select multiple rows you want to copy by click on row&#39;s header and press &quot;Ctrl&quot; or &quot;Shift&quot;</li><li>Press &quot;Ctrl + C&quot; to copy</li>"
,"Paste single row",,true,false,,"<li>Access to the Gird</li><li>Select row you want to paste by click on row&#39;s header</li><li>Press &quot;Ctrl + V&quot; to paste</li>"
,"Paste Multiple row",,true,false,,"<li>Access to the Gird</li><li>Select multiple rows you want to paste by click on row&#39;s header and press &quot;Ctrl&quot; or &quot;Shift&quot;</li><li>Press &quot;Ctrl + V&quot; to paste</li>"
,"Add data for record by input data",,true,false,,"<li>Access to the Gird</li><li>Select any cell to input data</li><li>Double click to cell to open input frame</li>"
,"Add data for record by import data",,true,false,,"<li>Access to the Gird</li><li>Click on &quot;import&quot; button and select file to import.</li><li>Select option to import and click on the &quot;Import&quot; button.</li>"
,"Add data for record by using copy + paste data",,true,false,,"<li>Access to the Gird</li><li>Copy any data </li><li>Select any cell to paste data</li><li>Click on the cell and press &quot;Ctrl + V&quot; to paste data.</li>"
,"Add data for multiple record by import data",,true,false,,"<li>Access to the Gird</li><li>Click on &quot;import&quot; button and select file to import.</li><li>Select option to import and click on the &quot;Import&quot; button.</li>"
,"Add data for multiple record by using copy + paste multiple data",,true,false,,"<li>Access to the Gird</li><li>Copy any data </li><li>Select any cell to paste data</li><li>Click on the cell and press &quot;Ctrl + V&quot; to paste data.</li>"
,"Edit data for record by import new data",,false,false,,"<li>Access to the Gird</li><li>Click on &quot;import&quot; button and select file to import.</li><li>Select option to import and click on the &quot;Import&quot; button.</li>"
,"Edit data for record by using copy + paste new data",,false,false,,"<li>Access to the Gird</li><li>Copy any data </li><li>Select any cell to paste data</li><li>Click on the cell and press &quot;Ctrl + V&quot; to paste data.</li>"
,"Edit data for multiple records by using copy + paste new multiple data",,false,false,,"<li>Access to the Gird</li><li>Copy any data </li><li>Select any cell to paste data</li><li>Click on the cell and press &quot;Ctrl + V&quot; to paste data.</li>"
,"Edit data for multiple records by import multiple data",,false,false,,"<li>Access to the Gird</li><li>Click on &quot;import&quot; button and select file to import.</li><li>Select option to import and click on the &quot;Import&quot; button.</li>"
Permission,"Verify 'Owner' can add a comment on a cell",,true,true,,
,"View history of single record",,true,false,,"<li>Access to the Gird</li><li>Select any record by click on cell</li><li>Right click on cell and select &quot;Record History&quot;</li>"
,"Approve auto populated text for single record",,false,false,,"<li>Access to the Gird</li><li>Select any record by click on cell</li><li>Right click on cell and select &quot;Approve auto populated text&quot;</li>"
,"Approve auto populated text for multiple records",,true,false,,"<li>Access to the Gird</li><li>Select multiple cells</li><li>Right click on cells and select &quot;Record History&quot;</li>"
,"Delete single record",,true,false,,"<li>Access to the Gird</li><li>Select any record to delete</li><li>Click on the record and press &quot;backspace&quot; on keyboard.</li>"
,"Delete multiple records",,true,false,,"<li>Access to the Gird</li><li>Select multiple records to delete</li><li>Click on the records and press &quot;backspace&quot; on keyboard.</li>"
,"Copy multiple record",,true,false,,"<li>Access to the Gird</li><li>Select multiple records to copy by click on record and press Ctrl + C</li>"
,"Paste multiple records",,true,false,,"<li>Access to the Gird</li><li>Select multiple records to paste by click on record and press Ctrl + V</li>"
Import-Export,"Export to single 'target language' ",,true,false,,"<li>Access to the Gird</li><li>Click on the &quot;Localization&quot; icon</li><li>Select &quot;Localization Export&quot; to Export file</li><li>Select &quot;Source language&quot; </li><li>Select Single &quot;Target Language&quot; to export</li>"
Import-Export,"Export to multiple 'target language' ",,true,false,,"<li>Access to the Gird</li><li>Click on the &quot;Localization&quot; icon</li><li>Select &quot;Localization Export&quot; to Export file</li><li>Select &quot;Source language&quot; </li><li>Select Multiple &quot;Target Language&quot; to export</li>"
,"Select single column to export",,true,false,,"<li>Access to the Gird</li><li>Click on the &quot;Localization&quot; icon</li><li>Select &quot;Localization Export&quot; to Export file</li><li>Select &quot;Source language&quot; </li><li>Select &quot;Target Language&quot; </li><li>Select single column to export and click on  &quot;Export&quot; button</li>"
,"Select Multiple columns to export",,true,false,,"<li>Access to the Gird</li><li>Click on the &quot;Localization&quot; icon</li><li>Select &quot;Localization Export&quot; to Export file</li><li>Select &quot;Source language&quot; </li><li>Select &quot;Target Language&quot; </li><li>Select multiple column to export and click on  &quot;Export&quot; button</li>"
Import-Export,"Export with .XLSX file and 'Include an ID Column'",,true,false,,
Import-Export,"Export with .CSV file and 'Include an ID Column'",,true,false,,
,"Find the column by entering 1 letter in the column's name",,false,false,,
,"Find the column by entering full column's name",,false,false,,
,"Find the column by entering any characters",,false,false,,
Project,"Verify 'Owner' can create Translation grid with Single-step",,true,false,,
Project,"Verify 'Owner' can create Translation grid with Multi-step",,true,false,,
Permission,"Verify 'Admin' can create a empty grid",,true,true,,
Permission,"Verify 'Admin' can rename a grid",,true,true,,
Permission,"Verify 'Admin' can delete a grid",,true,true,,
Permission,"Verify 'Admin' can create grid by uploading (.XLSX, .XLS, CSV) file",,true,true,,
Project,"Verify 'Admin' can create Translation grid with Single-step",,true,false,,
Project,"Verify 'Admin' can create Translation grid with Multi-step",,true,false,,
Project,"Verify 'Creator' can create grid by uploading (.XLSX, .XLS, CSV) file",High,true,true,,
Project,"Verify 'Creator' can rename a grid ",,true,true,,
Permission,"Verify 'Creator' can delete a grid",,true,true,,
Project,"Verify 'Creator' can create Translation grid with Single-step",,true,false,,
Project,"Verify 'Creator' can create Translation grid with Multi-step",,true,false,,
"Grid/Grid History","Sort grid history to 'All'",,false,false,,"<li>Access to the Gird</li><li>Click on the &quot;Grid History&quot; to view grid history</li><li>Select sort gird history to &quot;All&quot; </li>"
"Grid/Grid History","Sort grid history to 'Today'",,false,false,,"<li>Access to the Gird</li><li>Click on the &quot;Grid History&quot; to view grid history</li><li>Select sort gird history to &quot;Today&quot; </li>"
"Grid/Grid History","Sort grid history to 'Yesterday'",,false,false,,"<li>Access to the Gird</li><li>Click on the &quot;Grid History&quot; to view grid history</li><li>Select sort gird history to &quot;Yesterday&quot; </li>"
"Grid/Grid History","Sort grid history to 'Last 7 days'",,false,false,,"<li>Access to the Gird</li><li>Click on the &quot;Grid History&quot; to view grid history</li><li>Select sort gird history to &quot;Last 7 days&quot; </li>"
"Grid/Grid History","Sort grid history to 'Last 15 days'",,false,false,,"<li>Access to the Gird</li><li>Click on the &quot;Grid History&quot; to view grid history</li><li>Select sort gird history to &quot;Last 15 days&quot; </li>"
"Grid/Grid History","Sort grid history to 'Last 30 days'",,false,false,,"<li>Access to the Gird</li><li>Click on the &quot;Grid History&quot; to view grid history</li><li>Select sort gird history to &quot;Last 30 days&quot; </li>"
"Grid/Grid History","Show changes for single record",,true,false,,"<li>Access to the Gird</li><li>Click on the &quot;Grid History&quot; to view grid history</li><li>Select action to view &quot;Changed a record&quot;</li><li>Click on &quot;Show changes&quot; to view &quot;Changed a record&quot;</li>"
"Grid/Grid History","Show changes add a new record",,true,false,,"<li>Access to the Gird</li><li>Click on the &quot;Grid History&quot; to view grid history</li><li>Select action add a new record to view &quot;Changed a record&quot;</li><li>Click on &quot;Show changes&quot; to view &quot;Changed a record&quot;</li>"
"Grid/Grid History","Show changes edit data type column",,true,false,,"<li>Access to the Gird</li><li>Click on the &quot;Grid History&quot; to view grid history</li><li>Select action edit data type column &quot;Changed a record&quot;</li><li>Click on &quot;Show changes&quot; to view &quot;Changed a record&quot;</li>"
"Grid/Grid History","Show action delete record",,true,false,,"<li>Access to the Gird</li><li>Click on the &quot;Grid History&quot; to view grid history</li><li>Select action to delete records&quot;Changed a record&quot;</li><li>Click on &quot;Show changes&quot; to view &quot;Changed a record&quot;</li>"
"Grid/Grid History","Show action delete column",,false,false,,"<li>Access to the Gird</li><li>Click on the &quot;Grid History&quot; to view grid history</li><li>Select action delete columnv&quot;Changed a record&quot;</li><li>Click on &quot;Show changes&quot; to view &quot;Changed a record&quot;</li>"
"Public API","Copy Generated Curl",,true,false,,"<li>Access to the Gird</li><li>Click on the &quot;API quick start&quot; to view grid history</li><li>Select any request.</li><li>Click on  the &quot;Copy Generated Curl&quot; button</li>"
"Public API","Test API list record",,false,false,,"<li>Access to the Gird</li><li>Click on the &quot;API quick start&quot; to view grid history</li><li>Select the request is list record.</li><li>Click on  the &quot;Copy Generated Curl&quot; button.</li>"
"Public API","Test API Create record",,false,false,,"<li>Access to the Gird</li><li>Click on the &quot;API quick start&quot; to view grid history</li><li>Select the request is &quot;Create record&quot;</li><li>Click on  the &quot;Copy Generated Curl&quot; button.</li>"
"Public API","Test API Set record",,false,false,,"<li>Access to the Gird</li><li>Click on the &quot;API quick start&quot; to view grid history</li><li>Select the request is &quot;Set record&quot;</li><li>Click on  the &quot;Copy Generated Curl&quot; button.</li>"
"Public API","Test API Delete record",,false,false,,"<li>Access to the Gird</li><li>Click on the &quot;API quick start&quot; to view grid history</li><li>Select the request is &quot;Delete record&quot;</li><li>Click on  the &quot;Copy Generated Curl&quot; button.</li>"
,"Show use manual of keyboard shortcuts",,false,false,,"<li>Access to the Gird</li><li>Click on the &quot;Keyboard shortcuts&quot; to view Navigate on gird</li>"
,"Select group to share view",,true,false,,"<li>Access to the Gird</li><li>Click on the &quot;Share view&quot; to access to share view function</li><li>Select a group to share view.</li><li>After select view to share click on &quot;Share&quot; button</li>"
,"Add new group to share view",,true,false,,"<li>Access to the Gird</li><li>Click on the &quot;Share view&quot; to access to share view function</li><li>Click on &quot;Select a group&quot; field and click on &quot;Add new Group&quot; button</li><li>Entering a group&#39;s name and select any View to create. </li><li>Click on &quot;Create&quot; button.</li>"
,"Find a member by input full member's name",,false,false,,"<li>Access to the Gird</li><li>Click on the &quot;Share view&quot; to access to share view function </li><li>Entering full member&#39;s name into &quot;Find a member&quot; flied </li>"
,"Find a member by input 1 letter of member's name",,false,false,,"<li>Access to the Gird</li><li>Click on the &quot;Share view&quot; to access to share view function </li><li>Entering 1 letter off member&#39;s name into &quot;Find a member&quot; flied </li>"
,"Find a member by input any character of member's name",,false,false,,"<li>Access to the Gird</li><li>Click on the &quot;Share view&quot; to access to share view function </li><li>Entering any character off member&#39;s name into &quot;Find a member&quot; flied </li>"
Permission,"Setting workspace role of user is 'Viewer'",,true,false,,"<li>Access to the Gird</li><li>Click on the &quot;Share view&quot; to access to share view function </li><li>Select member you to change workspace role.</li><li>Click on &quot;Role&quot; of member and select new role is &quot;Viewer&quot;</li>"
Permission,"Setting workspace role of user is 'Editor'",,true,false,,"<li>Access to the Gird</li><li>Click on the &quot;Share view&quot; to access to share view function </li><li>Select member you to change workspace role.</li><li>Click on &quot;Role&quot; of member and select new role is &quot;Editor&quot;</li>"
,"Using scroll up by press 'pgup'",,false,false,,"<li>Access to the Gird</li><li>Press on &quot;Pgup&quot; in keyboard to using scroll up</li>"
,"Using scroll down by press 'pgdn'",,false,false,,"<li>Access to the Gird</li><li>Press on &quot;Pgdn&quot; in keyboard to using scroll down</li>"
,"Using scroll to first column by press 'home'",,false,false,,"<li>Access to the Gird</li><li>Press on &quot;home&quot; in keyboard to using scroll to first column</li>"
,"Using scroll to last column by press 'end'",,false,false,,"<li>Access to the Gird</li><li>Press on &quot;end&quot; in keyboard to using scroll to last column</li>"
,"Using scroll up by press 'pgup' multiple times",,false,false,,"<li>Access to the Gird</li><li>Press on &quot;Pgup&quot; in keyboard multiple times and click on other navigate on gird.</li>"
,"Using scroll down by press 'pgdn' multiple times",,false,false,,"<li>Access to the Gird</li><li>Press on &quot;Pgdn&quot; in keyboard multiple times and click on other navigate on gird.</li>"
,"Using scroll to fristcolumn by press 'home' multiple times",,false,false,,"<li>Access to the Gird</li><li>Press on &quot;end&quot; in keyboard multiple times and click on other navigate on gird.</li>"
Grid/Column,"Using 'Bold text' for rich text",,false,false,,"<li>Access to the Gird</li><li>Create a new column have data type is &quot;Rich text&quot;</li><li>Entering any data to column</li><li>Select the data and using &quot;Bold text&quot;</li>"
Grid/Column,"Using 'Italic text' for rich text",,false,false,,"<li>Access to the Gird</li><li>Create a new column have data type is &quot;Rich text&quot;</li><li>Entering any data to column</li><li>Select the data and using &quot;Italic text&quot;</li>"
Grid/Column,"Using 'Underline' for rich text",,false,false,,"<li>Access to the Gird</li><li>Create a new column have data type is &quot;Rich text&quot;</li><li>Entering any data to column</li><li>Select the data and using &quot;Underline&quot;</li>"
Grid/Column,"Using 'Fill text' for rich text",,false,false,,"<li>Access to the Gird</li><li>Create a new column have data type is &quot;Rich text&quot;</li><li>Entering any data to column</li><li>Select the data and using &quot;Fill text&quot;</li>"
Grid/Column,"Using 'Strikethrough Text' for rich text",,false,false,,"<li>Access to the Gird</li><li>Create a new column have data type is &quot;Rich text&quot;</li><li>Entering any data to column</li><li>Select the data and using &quot;Strikethrough&quot;</li>"
Grid/Column,"Using 'List' for rich text",,false,false,,"<li>Access to the Gird</li><li>Create a new column have data type is &quot;Rich text&quot;</li><li>Entering any data to column</li><li>Select the data and using &quot;List&quot;</li>"
Grid/Column,"Using 'Blockquote' for rich text",,false,false,,"<li>Access to the Gird</li><li>Create a new column have data type is &quot;Rich text&quot;</li><li>Entering any data to column</li><li>Select the data and using &quot;Blockquote&quot;</li>"
,"Roll up by using 'mouse wheel'",,false,false,,"<li>Access to the Gird</li><li>Click on &quot;Mouse wheel&quot; to roll up in Gird</li>"
,"Roll up by using 'scroll bar'",,false,false,,"<li>Access to the Gird</li><li>Using &quot;scroll bar&quot; to roll up in Gird</li>"
,"Roll down by using 'scroll bar'",,false,false,,"<li>Access to the Gird</li><li>Using &quot;scroll bar&quot; to roll down in Gird</li>"
,"Roll to Right by using 'scroll bar'",,false,false,,"<li>Access to the Gird</li><li>Using &quot;Taskbar&quot; to roll to right in Gird</li>"
,"Roll to left by using 'scroll bar'",,false,false,,"<li>Access to the Gird</li><li>Using &quot;Taskbar&quot; to roll to left in Gird</li>"
,"Search view by input full view's name",,false,false,,"<li>Access to the Gird</li><li>Click on View&#39;s name to switch to other view or create a new view</li><li>Entering full view&#39;s name into &quot;Find a view&quot; flied to find a view.</li>"
,"Search view by input 1 letter of view's name",,false,false,,"<li>Access to the Gird</li><li>Click on View&#39;s name to switch to other view or create a new view</li><li>Entering 1 letter of view&#39;s name into &quot;Find a view&quot; flied to find a view.</li>`"
,"Search view by input any character",,false,false,,"<li>Access to the Gird</li><li>Click on View&#39;s name to switch to other view or create a new view</li><li>Entering any character into &quot;Find a view&quot; flied to find a view.</li>"
Grid/Filter,"Add filter for column have data type is 'Single selection' and condition is 'Contains'",,true,false,,"<li>Access to the Gird</li><li>Click on the &quot;Filter&quot; icon</li><li>Select column to filter have data type is &quot;Single Selection&quot;</li><li>Select condition to filter is &quot;Contain&quot;</li><li>Select option for &quot;Value&quot; to filter</li>"
Grid/Filter,"Add filter for column have data type is 'Sing line' and condition is 'Is'",,true,false,,"<li>Access to the Gird</li><li>Click on the &quot;Filter&quot; icon</li><li>Select column to filter have data type is &quot;Single Line&quot;</li><li>Select condition to filter is &quot;Is&quot;</li><li>Input &quot;Value&quot; to filter</li>"
Grid/Filter,"Add filter for column have data type is 'Sing line' and condition is 'Is not'",,true,false,,"<li>Access to the Gird</li><li>Click on the &quot;Filter&quot; icon</li><li>Select column to filter have data type is &quot;Single Line&quot;</li><li>Select condition to filter is &quot;Is Not&quot;</li><li>Input &quot;Value&quot; to filter</li>"
Grid/Filter,"Add filter for column have data type is 'Sing line' and condition is 'Contains'",,true,false,,"<li>Access to the Gird</li><li>Click on the &quot;Filter&quot; icon</li><li>Select column to filter have data type is &quot;Single Line&quot;</li><li>Select condition to filter is &quot;Contains&quot;</li><li>Input &quot;Value&quot; to filter</li>"
Grid/Filter,"Add filter for column have data type is 'Multiple lines' and condition is 'Is'",,true,false,,"<li>Access to the Gird</li><li>Click on the &quot;Filter&quot; icon</li><li>Select column to filter have data type is &quot;Multiple lines&quot;</li><li>Select condition to filter is &quot;Is&quot;</li><li>Input &quot;Value&quot; to filter</li>"
Grid/Filter,"Add filter for column have data type is 'Multiple lines' and condition is 'Is not'",,true,false,,"<li>Access to the Gird</li><li>Click on the &quot;Filter&quot; icon</li><li>Select column to filter have data type is &quot;Multiple lines&quot;</li><li>Select condition to filter is &quot;Is Not&quot;</li><li>Input &quot;Value&quot; to filter</li>"
Grid/Filter,"Add filter for column have data type is 'Multiple lines' and condition is 'Contains'",,true,false,,"<li>Access to the Gird</li><li>Click on the &quot;Filter&quot; icon</li><li>Select column to filter have data type is &quot;Multiple lines&quot;</li><li>Select condition to filter is &quot;Contains&quot;</li><li>Input &quot;Value&quot; to filter</li>"
Grid/Filter,"Add filter for column have data type is 'Rich text' and condition is 'Is'",,true,false,,"<li>Access to the Gird</li><li>Click on the &quot;Filter&quot; icon</li><li>Select column to filter have data type is &quot;Rich text&quot;</li><li>Select condition to filter is &quot;Is&quot;</li><li>Input &quot;Value&quot; to filter</li>"
Grid/Filter,"Add filter for column have data type is 'Rich text' and condition is 'Is not'",,true,false,,"<li>Access to the Gird</li><li>Click on the &quot;Filter&quot; icon</li><li>Select column to filter have data type is &quot;Rich text&quot;</li><li>Select condition to filter is &quot;Is not&quot;</li><li>Input &quot;Value&quot; to filter</li>"
Grid/Filter,"Add filter for column have data type is 'Rich text' and condition is 'Contains'",,true,false,,"<li>Access to the Gird</li><li>Click on the &quot;Filter&quot; icon</li><li>Select column to filter have data type is &quot;Rich text&quot;</li><li>Select condition to filter is &quot;Contains&quot;</li><li>Input &quot;Value&quot; to filter</li>"
Grid/Filter,"Add filter for column have data type is 'Number' and condition is 'Is'",,true,false,,"<li>Access to the Gird</li><li>Click on the &quot;Filter&quot; icon</li><li>Select column to filter have data type is &quot;Number&quot;</li><li>Select condition to filter is &quot;Is&quot;</li><li>Input &quot;Value&quot; to filter</li>"
Grid/Filter,"Add filter for column have data type is 'Number' and condition is 'Contains'",,true,false,,"<li>Access to the Gird</li><li>Click on the &quot;Filter&quot; icon</li><li>Select column to filter have data type is &quot;Number&quot;</li><li>Select condition to filter is &quot;Contains&quot;</li><li>Input &quot;Value&quot; to filter</li>"
Grid/Filter,"Add filter for column have data type is 'Number' and condition is 'Is Not'",,true,false,,"<li>Access to the Gird</li><li>Click on the &quot;Filter&quot; icon</li><li>Select column to filter have data type is &quot;Number&quot;</li><li>Select condition to filter is &quot;Is Not&quot;</li><li>Input &quot;Value&quot; to filter</li>"
Grid/Filter,"Add filter for column have data type is 'Number' and condition is '>='",,true,false,,"<li>Access to the Gird</li><li>Click on the &quot;Filter&quot; icon</li><li>Select column to filter have data type is &quot;Number&quot;</li><li>Select condition to filter is &quot;&gt;=&quot;</li><li>Input &quot;Value&quot; to filter</li>"
Grid/Filter,"Add filter for column have data type is 'Number' and condition is '<='",,true,false,,"<li>Access to the Gird</li><li>Click on the &quot;Filter&quot; icon</li><li>Select column to filter have data type is &quot;Number&quot;</li><li>Select condition to filter is &quot;&lt;=&quot;</li><li>Input &quot;Value&quot; to filter</li>"
Grid/Filter,"Add filter for column have data type is 'Number' and condition is '>'",,true,false,,"<li>Access to the Gird</li><li>Click on the &quot;Filter&quot; icon</li><li>Select column to filter have data type is &quot;Number&quot;</li><li>Select condition to filter is &quot;&lt;&quot;</li><li>Input &quot;Value&quot; to filter</li>"
Grid/Filter,"Add filter for column have data type is 'Number' and condition is '<'",,true,false,,"<li>Access to the Gird</li><li>Click on the &quot;Filter&quot; icon</li><li>Select column to filter have data type is &quot;Number&quot;</li><li>Select condition to filter is &quot;&gt;&quot;</li><li>Input &quot;Value&quot; to filter</li>"
Grid/Filter,"Add filter for column have data type is 'localization' and localization type is 'Source language' and condition is 'Is'",,true,false,,"<li>Access to the Gird</li><li>Click on the &quot;Filter&quot; icon</li><li>Select column to filter have data type is &quot;Localization&quot; and localization type is &quot;Source language&quot;</li><li>Select condition to filter is &quot;Is&quot;</li><li>Input &quot;Value&quot; to filter</li>"
Grid/Filter,"Add filter for column have data type is 'localization' and localization type is 'Source language' and condition is 'Contains'",,true,false,,"<li>Access to the Gird</li><li>Click on the &quot;Filter&quot; icon</li><li>Select column to filter have data type is &quot;Localization&quot; and localization type is &quot;Source language&quot;</li><li>Select condition to filter is &quot;Contains&quot;</li><li>Input &quot;Value&quot; to filter</li>"
Grid/Filter,"Add filter for column have data type is 'localization' and localization type is 'Target language' and condition is 'Is'",,true,false,,"<li>Access to the Gird</li><li>Click on the &quot;Filter&quot; icon</li><li>Select column to filter have data type is &quot;Localization&quot; and localization type is &quot;Source language&quot;</li><li>Select condition to filter is &quot;Is&quot;</li><li>Input &quot;Value&quot; to filter</li>"
Grid/Filter,"Add filter for column have data type is 'localization' and localization type is 'Target language' and condition is 'Contain'",,true,false,,"<li>Access to the Gird</li><li>Click on the &quot;Filter&quot; icon</li><li>Select column to filter have data type is &quot;Localization&quot; and localization type is &quot;target language&quot;</li><li>Select condition to filter is &quot;Contains&quot;</li><li>Input &quot;Value&quot; to filter</li>"
Grid/Sort,"Add Sort for column have data type is 'Single Line' to a-z",,true,false,,"<li>Access to the Gird</li><li>Click on the &quot;Sort&quot; icon</li><li>Select column to sort filter have data type is &quot;Sing Line&quot;</li><li>Select condition to Sort is &quot;a-z&quot;</li>"
Grid/Sort,"Add Sort for column have data type is 'Single Line' to z-a",,true,false,,"<li>Access to the Gird</li><li>Click on the &quot;Sort&quot; icon</li><li>Select column to sort filter have data type is &quot;Sing Line&quot;</li><li>Select condition to Sort is &quot;z-a&quot;</li>"
Grid/Sort,"Add Sort for column have data type is 'Multiple lines' to a-z",,true,false,,"<li>Access to the Gird</li><li>Click on the &quot;Sort&quot; icon</li><li>Select column to sort filter have data type is &quot;Multiple Lines&quot;</li><li>Select condition to Sort is &quot;a-z&quot;</li>"
Grid/Sort,"Add Sort for column have data type is 'Multiple lines' to z-a",,true,false,,"<li>Access to the Gird</li><li>Click on the &quot;Sort&quot; icon</li><li>Select column to sort filter have data type is &quot;Multiple Lines&quot;</li><li>Select condition to Sort is &quot;z-a&quot;</li>"
Grid/Sort,"Add Sort for column have data type is 'Rich text' to a-z",,true,false,,"<li>Access to the Gird</li><li>Click on the &quot;Sort&quot; icon</li><li>Select column to sort filter have data type is &quot;Rich text&quot;</li><li>Select condition to Sort is &quot;a-z&quot;</li>"
Grid/Sort,"Add Sort for column have data type is 'Rich text' to z-a",,true,false,,"<li>Access to the Gird</li><li>Click on the &quot;Sort&quot; icon</li><li>Select column to sort filter have data type is &quot;Rich text&quot;</li><li>Select condition to Sort is &quot;z-a&quot;</li>"
